STATION_ID,STATION,STATE,COUNTRY,LATITUDE,LONGITUDE,ELEVATION_(FT)
NEXRAD:KABR,ABERDEEN,SD,UNITED STATES,45.455833,-98.413333,1383
NEXRAD:KENX,ALBANY,NY,UNITED STATES,42.586556,-74.064083,1935
NEXRAD:KABX,ALBUQUERQUE,NM,UNITED STATES,35.149722,-106.823889,5951
NEXRAD:KFDR,ALTUS AFB,OK,UNITED STATES,34.362194,-98.976667,1315
NEXRAD:KAMA,AMARILLO,TX,UNITED STATES,35.233333,-101.709278,3703
NEXRAD:PAHG,ANCHORAGE,AK,UNITED STATES,60.725914,-151.351467,356
NEXRAD:TADW,ANDREWS AFB,MD,UNITED STATES,38.695,-76.845,344
NEXRAD:KFFC,ATLANTA,GA,UNITED STATES,33.36355,-84.56595,972
NEXRAD:TATL,ATLANTA,GA,UNITED STATES,33.646944,-84.261944,1076
NEXRAD:KEWX,AUSTIN SAN ANTONIO,TX,UNITED STATES,29.704056,-98.028611,767
NEXRAD:TBWI,BALTIMORE WASHINGTON,MD,UNITED STATES,39.09,-76.63,299
NEXRAD:KBBX,BEALE AFB,CA,UNITED STATES,39.495639,-121.631611,221
NEXRAD:PABC,BETHEL FAA,AK,UNITED STATES,60.791944,-161.876389,193
NEXRAD:KBLX,BILLINGS,MT,UNITED STATES,45.853778,-108.606806,3703
NEXRAD:KBGM,BINGHAMTON,NY,UNITED STATES,42.199694,-75.984722,1703
NEXRAD:KBMX,BIRMINGHAM,AL,UNITED STATES,33.172417,-86.770167,759
NEXRAD:KBIS,BISMARCK,ND,UNITED STATES,46.770833,-100.760556,1755
NEXRAD:KCBX,BOISE,ID,UNITED STATES,43.490217,-116.236033,3172
NEXRAD:KBOX,BOSTON,MA,UNITED STATES,41.955778,-71.136861,232
NEXRAD:TBOS,BOSTON,MA,UNITED STATES,42.158056,-70.933056,262
NEXRAD:KBRO,BROWNSVILLE,TX,UNITED STATES,25.916,-97.418967,88
NEXRAD:KBUF,BUFFALO,NY,UNITED STATES,42.948789,-78.736781,790
NEXRAD:KCXX,BURLINGTON,VT,UNITED STATES,44.511,-73.166431,431
NEXRAD:KFDX,CANNON AFB,NM,UNITED STATES,34.634167,-103.618889,4698
NEXRAD:KICX,CEDAR CITY,UT,UNITED STATES,37.59105,-112.862183,10757
NEXRAD:KRLX,CHARLESTON,WV,UNITED STATES,38.311111,-81.722778,1213
NEXRAD:KCLX,CHARLESTON,SC,UNITED STATES,32.655528,-81.042194,229
NEXRAD:TCLT,CHARLOTTE,NC,UNITED STATES,35.336944,-80.885,869
NEXRAD:KCYS,CHEYENNE,WY,UNITED STATES,41.151919,-104.806031,6193
NEXRAD:KLOT,CHICAGO,IL,UNITED STATES,41.604444,-88.084444,760
NEXRAD:TMDW,CHICAGO MIDWAY,IL,UNITED STATES,41.651111,-87.73,764
NEXRAD:TORD,CHICAGO OHARE,IL,UNITED STATES,41.796944,-87.858056,745
NEXRAD:KILN,CINCINNATI,OH,UNITED STATES,39.420483,-83.82145,1170
NEXRAD:TLVE,CLEVELAND,OH,UNITED STATES,41.29,-82.008056,932
NEXRAD:KCLE,CLEVELAND,OH,UNITED STATES,41.413217,-81.859867,860
NEXRAD:KCAE,COLUMBIA,SC,UNITED STATES,33.948722,-81.118278,345
NEXRAD:TCMH,COLUMBUS,OH,UNITED STATES,40.006111,-82.715,1148
NEXRAD:KGWX,COLUMBUS AFB,MS,UNITED STATES,33.896917,-88.329194,590
NEXRAD:KCRP,CORPUS CHRISTI,TX,UNITED STATES,27.784017,-97.51125,142
NEXRAD:TCVG,COVINGTON,KY,UNITED STATES,38.898056,-84.58,1053
NEXRAD:KFWS,DALLAS,TX,UNITED STATES,32.573,-97.30315,777
NEXRAD:TDFW,DALLAS FT WORTH,TX,UNITED STATES,33.065,-96.918056,584
